group,y
A,0.7929342506145789
A,2.27742924211066
A,3.0844411766830557
A,-0.34569770262934885
A,2.42912468881105
A,2.506055892157574
A,1.4252600398653512
A,1.4533681442158128
A,1.4355480009067167
A,1.109962170955896
A,1.5228073002464528
A,1.001613555140296
A,1.22374610536201
A,2.0644588172762695
A,2.9594940589707712
A,1.8897145056092257
A,1.4889904941933578
A,1.0888045833701887
A,1.1628283197310605
A,4.415835178489341
A,2.134088220152031
A,1.509314103309057
A,1.559452127646773
A,2.4595894410058534
A,1.3062797530625245
A,0.551795089613528
A,2.574755720900728
A,0.976344277036121
A,1.9848616996358184
A,1.0640513988316065
A,3.102297546200263
A,1.5244069211309426
A,1.2905599624874937
A,1.4987419394052384
A,0.3709065309212958
A,0.8323807379058137
A,-0.1800396489486742
A,0.6590068078999713
A,1.7057061412362868
A,1.5341024595938895
A,3.4494962652871317
A,0.931357276325419
A,1.1446353662624928
A,1.7193769980425462
A,1.0056599237043353
A,1.031485682127951
A,0.8926818073582341
A,0.7480141143610599
A,1.4761718810126443
A,1.5031500427333
A,0.19396874319805124
A,1.4179240753106672
A,0.8911103755732186
A,0.9850379905079907
A,1.8376904764431807
A,2.5630558189945174
A,3.6478174728150616
A,1.226646576056305
A,3.6059096288572965
A,0.84219145230559
A,2.656588464332807
A,4.5489910707178565
A,1.9652396101961624
A,1.3303664203380425
A,1.9923952442890254
A,3.7770844481434263
A,0.8613922632490909
A,3.3678271794232626
A,3.3295647907823605
A,2.3364727972038173
A,2.0068928384419578
A,1.544531261838572
A,1.6334760671260669
A,2.6482865675031477
A,4.070270861330943
A,1.84660158753303
A,0.609299053298509
A,1.2764182228898457
A,2.2582617621678533
A,1.682940885038801
A,1.8222100423357057
A,1.8300059231454595
A,0.6276981141233062
A,1.8262128295859668
A,2.8502322571218843
A,2.697608711668253
A,2.549997351091101
A,1.5972680245523772
A,1.8084062295215233
A,0.8054721203974864
A,1.9468411812566762
A,2.2551960009958334
A,3.705964007240075
A,3.0015132523634485
A,1.50441655699854
A,2.3555502969997493
A,0.8653919564661521
A,2.8782036269522915
A,2.972916753376122
A,4.121117105375676
B,2.4145235343749856
B,1.5252815264706399
B,2.0659934937044615
B,1.497522217606134
B,1.1740014128706644
B,2.1669892797529835
B,1.1037353737552413
B,2.168185387655757
B,2.3549682610148546
B,1.9478948831288665
B,1.8040653812837468
B,1.3509302483942398
B,0.8902327686012681
B,2.8492742026550584
B,2.022362526076024
B,2.8311406173068354
B,0.7557121486557723
B,2.169026413766175
B,2.673166306947679
B,1.973723623551474
B,1.8086078314439762
B,1.2180933533001235
B,4.058161987763491
B,2.7505014531558305
B,3.824208302378289
B,2.080059641091988
B,1.3685907010336344
B,0.48671187996627285
B,1.3639001689149488
B,2.226301532497161
B,3.0136903474657486
B,2.252750135066342
B,0.828051687158879
B,2.6687143285250334
B,0.3498990651556393
B,1.6341477518080991
B,1.6838816711669202
B,0.05175395267863103
B,2.920057522390905
