iteration,combination,p_chi,p_aov
1,1,1,0.455142979157357
1,2,1,0.4413424087937948
1,3,1,0.3566498170994221
1,4,1,0.17274972407836142
1,5,1,0.39796258914377797
1,6,1,0.3768187242286648
1,7,1,0.15538106444443608
1,8,1,0.2141240408039542
1,9,1,0.3136386317817134
1,10,1,0.23090819017841813
1,11,1,0.00635782187306379
1,12,1,0.5478530002816523
1,13,1,0.9426391847083747
1,14,1,0.1819224786289484
1,15,1,0.2724076633008553
1,16,1,0.2799956617728633
1,17,1,0.5517488481201922
1,18,1,0.05697274789813243
1,19,1,0.11605970980296952
1,20,1,0.6753632038202286
1,21,0.3733133433283358,1
1,22,0.07446276861569215,1
1,23,0.5937031484257871,1
1,24,0.20589705147426288,1
1,25,0.015992003998001,1
1,26,0.935032483758121,1
1,27,0.5337331334332833,1
1,28,0.6581709145427287,1
1,29,0.1374312843578211,1
1,30,0.9245377311344328,1
1,31,0.6191904047976012,1
1,32,0.01999000499750125,1
1,33,0.059470264867566215,1
1,34,0.12843578210894552,1
1,35,0.24987506246876562,1
1,36,0.49325337331334335,1
1,37,0.5777111444277861,1
1,38,0.2543728135932034,1
1,39,0.5132433783108445,1
1,40,0.18190904547726136,1
1,41,0.2353823088455772,1
1,42,0.2433783108445777,1
1,43,0.5407296351824088,1
1,44,0.672663668165917,1
1,45,0.1744127936031984,1
1,46,0.2708645677161419,1
1,47,0.22338830584707647,1
1,48,0.4962518740629685,1
1,49,0.07896051974012994,1
1,50,0.14642678660669664,1
1,51,0.7631184407796102,1
1,52,0.7191404297851074,1
1,53,0.46326836581709147,1
1,54,0.9510244877561219,1
1,55,0.39430284857571213,1
1,56,0.029985007496251874,1
1,57,0.84007996001999,1
1,58,0.06796601699150424,1
1,59,0.8390804597701149,1
1,60,0.8705647176411794,1
1,61,0.7341329335332334,1
1,62,0.05747126436781609,1
1,63,0.7311344327836082,1
1,64,0.06996501749125437,1
1,65,0.992503748125937,1
1,66,0.1904047976011994,1
1,67,0.5997001499250375,1
1,68,0.7011494252873564,1
1,69,0.17891054472763618,1
1,70,0.8690654672663668,1
1,71,0.4012993503248376,1
1,72,0.8455772113943029,1
1,73,0.19440279860069964,1
1,74,0.2653673163418291,1
1,75,0.7791104447776112,1
1,76,0.6881559220389805,1
1,77,0.09695152423788106,1
1,78,0.487256371814093,1
1,79,0.4337831084457771,1
1,80,0.28385807096451776,1
1,81,0.5087456271864068,1
1,82,0.39480259870064965,1
1,83,0.6596701649175413,1
1,84,0.43478260869565216,1
1,85,0.7881059470264867,1
